"output","factor","mu","mu_star","sigma"
"N_alive_trend","R_max",3.72470475603129,7.04086642069718,13.9772977706813
"N_alive_trend","K_half",-1.30402240896358,4.15976950780312,5.88515931554761
"N_alive_trend","age_first_flower_mean",-3.62010724289715,6.39797999199679,9.667078148659
"N_IUCN_mean","weibull_lambda",8292.176,8292.176,12658.1618911163
"N_IUCN_mean","senescence_dose_response__max_effect",-5531.32533333333,5532.28,5452.784327491
"N_IUCN_mean","senescence_dose_response__half_sat",2221.00562962963,2243.67703703704,2976.62047137341
"N_IUCN_mean","juv_decline_dose_response__max_effect",-4274.672,4275.22666666667,8761.01389342276
"N_IUCN_mean","juv_decline_age_half_sat",-3747.46533333333,3747.46533333333,6767.58249198437
"N_IUCN_mean","shade_dose_response__max_effect",-3134.64666666667,3135.06533333333,4463.90928161923
"N_IUCN_mean","shade_dose_response__half_sat",993.118483316481,993.118483316481,852.011392287086
"N_IUCN_mean","R_max",8411.22707246377,8411.22707246377,5470.67435326278
"N_IUCN_mean","K_half",-1893.61733333333,1893.61733333333,890.396632508882
"N_IUCN_mean","age_first_flower_mean",-6169.59733333333,6169.59733333333,7951.52182486385
"adult_frac_mean","weibull_lambda",0.113944288906866,0.113944288906866,0.0793708430981752
"adult_frac_mean","senescence_dose_response__max_effect",-0.20396053210147,0.20396053210147,0.153709911142666
"adult_frac_mean","senescence_dose_response__half_sat",0.104773955122688,0.104773955122688,0.0940350453864829
"adult_frac_mean","juv_decline_dose_response__max_effect",-0.0223003816449795,0.03140288729709,0.0453544892137074
"adult_frac_mean","juv_decline_age_half_sat",-0.0861390841724279,0.0881362501266156,0.100702272932253
"adult_frac_mean","shade_dose_response__max_effect",0.0137552818321082,0.0140224054741556,0.0252962807922209
"adult_frac_mean","shade_dose_response__half_sat",-0.0115655322006405,0.0155331352830212,0.024260621308229
"adult_frac_mean","R_max",-0.0713482659177369,0.0713482659177369,0.0971863632078182
"adult_frac_mean","K_half",0.0563260509577288,0.0563260509577288,0.0754270684030844
"adult_frac_mean","age_first_flower_mean",-0.322413635835852,0.322413635835852,0.162706426847028
"adult_frac_final","weibull_lambda",0.115203735122151,0.117071148754271,0.0883975429061239
"adult_frac_final","senescence_dose_response__max_effect",-0.175427549303036,0.175427549303036,0.141069895123038
"adult_frac_final","senescence_dose_response__half_sat",0.117379144758489,0.117379144758489,0.0976417940232052
"adult_frac_final","juv_decline_dose_response__max_effect",-0.0132762162388592,0.0522209676847823,0.0866620682503394
"adult_frac_final","juv_decline_age_half_sat",-0.0703550392423411,0.0772429925501908,0.0927725874467882
"adult_frac_final","shade_dose_response__max_effect",0.012072554362834,0.0137931817110553,0.0222698077542499
"adult_frac_final","shade_dose_response__half_sat",-0.013030080789425,0.0210851981428266,0.0270859341023229
"adult_frac_final","R_max",-0.0472356337376349,0.0476464656796142,0.0578687155247095
"adult_frac_final","K_half",0.028653459390935,0.0292124268565981,0.0347755897659754
"adult_frac_final","age_first_flower_mean",-0.326577235344319,0.326577235344319,0.192529417789657
"juv_age_mean","weibull_lambda",-0.0122526969117913,0.283976446284747,0.45960951508938
"juv_age_mean","senescence_dose_response__max_effect",0.380558758803087,0.380558758803087,0.437988161594395
"juv_age_mean","senescence_dose_response__half_sat",-0.154813374878371,0.154813374878371,0.240280044752019
"juv_age_mean","juv_decline_dose_response__max_effect",-0.26865359864265,0.434469689971796,0.512294825047076
"juv_age_mean","juv_decline_age_half_sat",-0.550177916772956,0.689118418032298,0.693020937830148
"juv_age_mean","shade_dose_response__max_effect",0.0663012894746166,0.0969687098639565,0.147349889677923
"juv_age_mean","shade_dose_response__half_sat",-0.162080309190566,0.162080309190566,0.125518804705493
"juv_age_mean","R_max",-0.317894293759628,0.332357513387078,0.353254992367661
"juv_age_mean","K_half",0.0629586678094842,0.306710534576383,0.533396299546461
"juv_age_mean","age_first_flower_mean",2.55790446937772,2.55790446937772,0.547573319452648
"adult_age_mean","weibull_lambda",25.6463963494654,25.6463963494654,36.0247656664427
"adult_age_mean","senescence_dose_response__max_effect",-39.883671228632,39.883671228632,42.1836295018497
"adult_age_mean","senescence_dose_response__half_sat",7.22621390675543,7.22621390675543,5.43440788316993
"adult_age_mean","juv_decline_dose_response__max_effect",0.994746100799818,1.5635949217159,4.0032404369037
"adult_age_mean","juv_decline_age_half_sat",-0.084574054818353,0.549602372808752,0.850866056329985
"adult_age_mean","shade_dose_response__max_effect",0.634863453263799,0.810114633022895,1.74739059764721
"adult_age_mean","shade_dose_response__half_sat",-0.580236970121068,0.903300586983875,1.75423732236155
"adult_age_mean","R_max",-3.37633022137161,3.47619075986045,10.0955007152251
"adult_age_mean","K_half",0.979114116920282,1.47692802955244,4.38379905523405
"adult_age_mean","age_first_flower_mean",7.59579348376813,7.59579348376813,5.76944062134666
