"run_index","weibull_lambda","senescence_dose_response__max_effect","senescence_dose_response__half_sat","juv_decline_dose_response__max_effect","juv_decline_age_half_sat","shade_dose_response__max_effect","shade_dose_response__half_sat","R_max","K_half","age_first_flower_mean","N_alive_mean","N_alive_cv","N_alive_trend","N_IUCN_mean","adult_frac_mean","adult_frac_final","juv_age_mean","adult_age_mean","recruit_rate","births_mean","extinction"
38,20,0.15,48.75,0.4725,8,0.4625,6125,1525,200,4.75,9457.24,0.00954858333186746,-4.72806722689075,6320.52,0.668330226794451,0.66444468336738,1.35020826658122,17.1126213592233,0.11941281086164,1129.32,0
39,20,0.15,48.75,0.99,8,0.4625,6125,1525,200,4.75,6509.06,0.00841359326405696,-2.1395918367347,3865.24,0.593838098673294,0.600278121137206,1.01739466563587,16.6942084942085,0.183913237074883,1197.14,0
40,20,0.15,48.75,0.99,8,0.4625,500,1525,200,4.75,5227.44,0.0127522939578051,2.60792316926771,3202.76,0.612707025206307,0.618086696562033,1.11986301369863,16.8440145102781,0.164037897388441,857.6,0
41,20,0.15,48.75,0.99,8,0.4625,500,100,200,4.75,789.4,0.0363067839005011,0.1906362545018,582.98,0.738614326397066,0.728723404255319,1.69117647058824,17.9744525547445,0.0714236090027334,56.38,0
42,20,0.6,48.75,0.99,8,0.4625,500,100,200,4.75,700.46,0.0241231488379789,-0.132388955582237,493.68,0.705016524527745,0.71264367816092,1.705,14.3729838709677,0.0768167239249421,53.84,0
43,20,0.6,48.75,0.99,8,0.4625,500,100,200,10,635.22,0.0314261290115366,-0.050372148859542,290.78,0.457686907190266,0.482982171799028,3.76802507836991,19.2046979865772,0.078716758019109,50.02,0
44,20,0.6,48.75,0.99,8,0.4625,500,100,3050,10,27.44,1.00105100177556,-1.74415366146459,21.12,0.793930854329801,NA,NA,NA,0.0127347066624639,0.54,1
45,120,0.6,60,0.8175,8,0.95,500,575,1150,10,1597.66,0.0193980652906662,1.62617046818728,986.52,0.617527377925425,0.60969696969697,3.57142857142857,24.1322067594433,0.0608015305098841,97.16,0
46,120,0.6,60,0.8175,2.75,0.95,500,575,1150,10,2183.84,0.0104203372007608,0.143769507803117,1501.6,0.68759364091146,0.698398169336384,4.25948406676783,23.9429882044561,0.0429416452975298,93.8,0
47,120,0.6,60,0.8175,2.75,0.95,500,575,1150,4.75,2094.04,0.0221290027541876,1.53949579831933,1756.98,0.839048495747182,0.838427947598253,1.71771771771772,21.5752314814815,0.0442033283999465,92.58,0
